ID,Destination,Notes,Country Code,Country No,Type of data (a),1990,Male_1990,Female_1990,1995,Male_1995,Female_1995,2000,Male_2000,Female_2000,2005,Male_2005,Female_2005,2010,Male_2010,Female_2010,2015,Male_2015,Female_2015
36,Equatorial Guinea,,GNQ,226,C,77227,37196,40031,91858,43842,48016,123812,58661,65151,153918,70022,83896,179191,80845,98346,182313,82662,99651
12,Eritrea,,ERI,232,I,287492,152332,135160,643109,325868,317241,1056488,527992,528496,634361,324645,309716,647303,338734,308569,964794,510806,453988
142,Estonia,,EST,233,B,326206,155424,170782,372497,173623,198874,410192,187636,222556,439720,197444,242276,476068,210954,265114,579425,256325,323100
13,Ethiopia,,ETH,231,B R,3060524,1557530,1502994,1760628,912714,847914,1050444,569450,480994,1256510,684933,571577,1528640,833323,695317,1809170,965017,844153
143,Faeroe Islands,,FRO,234,B,22273,8755,13518,29715,12125,17590,36961,15512,21449,37396,15473,21923,38653,16044,22609,42573,17978,24595
224,Falkland Islands (Malvinas),,FLK,238,B,672,361,311,2122,924,1198,3882,1627,2255,3324,1424,1900,3075,1344,1731,3372,1500,1872
243,Fiji,,FJI,242,B,237556,115141,122415,276096,131787,144309,339927,163024,176903,409582,196377,213205,483626,230586,253040,546958,260618,286340
144,Finland,-15,FIN,246,B,711765,289635,422130,827337,333283,494054,909893,362261,547632,877996,350608,527388,847359,329693,517666,852652,329329,523323
173,France,,FRA,250,B,3226008,1512187,1713821,3564385,1687854,1876531,4096770,1958126,2138644,4594650,2195312,2399338,5306121,2531528,2774593,5798664,2771803,3026861
225,French Guiana,,GUF,254,B,8484,3735,4749,9627,4159,5468,10864,4623,6241,11551,4893,6658,12147,5116,7031,13029,5492,7537
259,French Polynesia,,PYF,258,B,8922,4577,4345,10513,5307,5206,12861,6371,6490,8122,4040,4082,3507,1929,1578,3870,2168,1702
37,Gabon,,GAB,266,C,38921,19469,19452,41981,20845,21136,45716,22538,23178,101412,49490,51922,136928,68221,68707,149159,73872,75287
58,Gambia,,GMB,270,B,83328,49191,34137,90917,53997,36920,99525,60058,39467,148512,92218,56294,209671,132658,77013,226525,138365,88160
113,Georgia,-11,GEO,268,B,2753851,1335998,1417853,2852425,1437984,1414441,2892129,1503070,1389059,2644263,1354650,1289613,2408400,1208513,1199887,2488923,1233619,1255304
174,Germany,,DEU,276,B,8843386,4026168,4817218,8848369,4075863,4772506,9071331,4236236,4835095,9824237,4632626,5191611,10634040,4937854,5696186,11242310,5224798,6017512
59,Ghana,,GHA,288,B,845852,434454,411398,975299,496547,478752,1079168,556255,522913,1299829,695524,604305,1611783,858685,753098,1843582,974021,869561
158,Gibraltar,,GIB,292,B,34930,16494,18436,29259,14111,15148,25025,12379,12646,28694,14116,14578,34597,16903,17694,38794,18707,20087
159,Greece,,GRC,300,B,2852036,1491510,1360526,2784541,1445832,1338709,2705633,1394648,1310985,2452573,1266038,1186535,2243483,1150680,1092803,2386593,1223255,1163338
235,Greenland,,GRL,304,B,28558,11334,17224,34179,13701,20478,39950,16161,23789,44357,18331,26026,48759,20520,28239,52656,22431,30225
194,Grenada,,GRD,308,B,107299,48844,58455,130075,59128,70947,151207,68462,82745,152294,68075,84219,143660,62559,81101,153452,66695,86757
195,Guadeloupe,-21,GLP,312,B,17341,7703,9638,20399,8762,11637,23473,9816,13657,26870,11040,15830,29997,12144,17853,31173,12539,18634
249,Guam,,GUM,316,B,4096,2066,2030,6094,3104,2990,8461,4175,4286,8023,3865,4158,6513,2952,3561,6432,2949,3483
212,Guatemala,,GTM,320,B R,796040,400927,395113,979210,496696,482514,1204224,615081,589143,1515329,769036,746293,1861730,924971,936759,2153703,1067240,1086463
60,Guinea,,GIN,324,C R,718406,410735,307671,746628,424476,322152,720565,407323,313242,787259,450303,336956,868192,493939,374253,927868,526653,401215
61,Guinea-Bissau,,GNB,624,B R,126610,64257,62353,158125,82564,75561,188035,104781,83254,205489,113865,91624,233978,126351,107627,245283,129454,115829
226,Guyana,,GUY,328,B,515944,244012,271932,635424,299733,335691,779473,367195,412278,848286,398090,450196,932728,430447,502281,1014391,466637,547754
196,Haiti,,HTI,332,B,1317143,751415,565728,1595647,892018,703629,1904417,1048875,855542,2327415,1259424,1067991,2648713,1406056,1242657,2886593,1524680,1361913
160,Holy See,-17,VAT,336,I,96,42,54,117,69,48,132,90,42,339,168,171,543,246,297,546,240,306
